root,expiration,strike,right,ms_of_day,open_interest,date
SPXW,20240510,1400000,C,23408380,6,20240509
SPXW,20240510,1400000,P,23435192,0,20240509
SPXW,20240510,1600000,C,23405104,0,20240509
SPXW,20240510,1600000,P,23417101,0,20240509
SPXW,20240510,1800000,C,23423169,0,20240509
SPXW,20240510,1800000,P,23429181,0,20240509
SPXW,20240510,2000000,C,23411132,0,20240509
SPXW,20240510,2000000,P,23432498,149,20240509
SPXW,20240510,2200000,C,23435233,0,20240509
SPXW,20240510,2200000,P,23402344,14,20240509
SPXW,20240510,2400000,C,23405151,0,20240509
SPXW,20240510,2400000,P,23414479,13,20240509
SPXW,20240510,2600000,C,23417118,0,20240509
SPXW,20240510,2600000,P,23420425,106,20240509
SPXW,20240510,2800000,C,23423140,0,20240509
SPXW,20240510,2800000,P,23426427,63,20240509
SPXW,20240510,3000000,C,23429266,0,20240509
SPXW,20240510,3000000,P,23408397,892,20240509
SPXW,20240510,3200000,C,23432478,5,20240509
SPXW,20240510,3200000,P,23402331,1493,20240509
SPXW,20240510,3400000,C,23411192,0,20240509
SPXW,20240510,3400000,P,23414366,2809,20240509
SPXW,20240510,3500000,C,23402720,1,20240509
SPXW,20240510,3500000,P,23414707,630,20240509
SPXW,20240510,3600000,C,23435162,0,20240509
SPXW,20240510,3600000,P,23420540,811,20240509
SPXW,20240510,3700000,C,23423426,0,20240509
SPXW,20240510,3700000,P,23420797,3022,20240509
SPXW,20240510,3800000,C,23405182,0,20240509
SPXW,20240510,3800000,P,23426508,7528,20240509
SPXW,20240510,3850000,C,23430462,0,20240509
SPXW,20240510,3850000,P,23409947,100,20240509
SPXW,20240510,3900000,C,23402387,2,20240509
SPXW,20240510,3900000,P,23432467,4238,20240509
SPXW,20240510,3950000,C,23414363,2,20240509
SPXW,20240510,3950000,P,23420435,7172,20240509
SPXW,20240510,4000000,C,23426405,4731,20240509
SPXW,20240510,4000000,P,23408362,12689,20240509
SPXW,20240510,4050000,C,23423159,0,20240509
SPXW,20240510,4050000,P,23408466,5077,20240509
SPXW,20240510,4100000,C,23429191,0,20240509
SPXW,20240510,4100000,P,23432542,3929,20240509
SPXW,20240510,4150000,C,23402389,17,20240509
SPXW,20240510,4150000,P,23414393,22142,20240509
SPXW,20240510,4200000,C,23411114,0,20240509
SPXW,20240510,4200000,P,23420457,10171,20240509
SPXW,20240510,4225000,C,23424402,0,20240509
SPXW,20240510,4225000,P,23421999,386,20240509
SPXW,20240510,4250000,C,23426442,3,20240509
SPXW,20240510,4250000,P,23408372,4198,20240509
SPXW,20240510,4275000,C,23424032,0,20240509
SPXW,20240510,4275000,P,23403621,1022,20240509
SPXW,20240510,4300000,C,23432455,306,20240509
SPXW,20240510,4300000,P,23402417,7176,20240509
SPXW,20240510,4325000,C,23423848,0,20240509
SPXW,20240510,4325000,P,23433469,1791,20240509
SPXW,20240510,4350000,C,23414376,2,20240509
SPXW,20240510,4350000,P,23420550,11909,20240509
SPXW,20240510,4375000,C,23435946,0,20240509
SPXW,20240510,4375000,P,23433488,868,20240509
SPXW,20240510,4380000,C,23417982,0,20240509
SPXW,20240510,4380000,P,23409690,137,20240509
SPXW,20240510,4390000,C,23430043,0,20240509
SPXW,20240510,4390000,P,23403563,130,20240509
SPXW,20240510,4400000,C,23426520,5,20240509
SPXW,20240510,4400000,P,23414393,2038,20240509
SPXW,20240510,4410000,C,23415608,16,20240509
SPXW,20240510,4410000,P,23427743,120,20240509
SPXW,20240510,4420000,C,23417925,0,20240509
SPXW,20240510,4420000,P,23427439,87,20240509
SPXW,20240510,4425000,C,23423612,0,20240509
SPXW,20240510,4425000,P,23421258,79,20240509
SPXW,20240510,4430000,C,23409393,1,20240509
SPXW,20240510,4430000,P,23415480,69,20240509
SPXW,20240510,4440000,C,23405889,0,20240509
SPXW,20240510,4440000,P,23409367,126,20240509
SPXW,20240510,4450000,C,23420465,201,20240509
SPXW,20240510,4450000,P,23426435,30315,20240509
SPXW,20240510,4460000,C,23417840,0,20240509
SPXW,20240510,4460000,P,23427438,1093,20240509
SPXW,20240510,4470000,C,23405840,0,20240509
SPXW,20240510,4470000,P,23403356,81,20240509
SPXW,20240510,4475000,C,23405600,0,20240509
SPXW,20240510,4475000,P,23427333,164,20240509
SPXW,20240510,4480000,C,23433523,1,20240509
SPXW,20240510,4480000,P,23433469,17,20240509
SPXW,20240510,4490000,C,23405817,0,20240509
SPXW,20240510,4490000,P,23403335,141,20240509
SPXW,20240510,4500000,C,23408391,7,20240509
SPXW,20240510,4500000,P,23432498,32097,20240509
SPXW,20240510,4510000,C,23417541,0,20240509
SPXW,20240510,4510000,P,23427258,136,20240509
SPXW,20240510,4520000,C,23421236,4,20240509
SPXW,20240510,4520000,P,23433258,547,20240509
SPXW,20240510,4525000,C,23402935,8,20240509
SPXW,20240510,4525000,P,23415070,86,20240509
SPXW,20240510,4530000,C,23403142,20,20240509
SPXW,20240510,4530000,P,23427258,1326,20240509
SPXW,20240510,4540000,C,23409186,5,20240509
SPXW,20240510,4540000,P,23415195,798,20240509
SPXW,20240510,4550000,C,23402344,6,20240509
SPXW,20240510,4550000,P,23414489,2325,20240509
SPXW,20240510,4560000,C,23403156,12,20240509
SPXW,20240510,4560000,P,23421342,239,20240509
SPXW,20240510,4570000,C,23415176,20,20240509
SPXW,20240510,4570000,P,23409278,366,20240509
SPXW,20240510,4575000,C,23417420,0,20240509
SPXW,20240510,4575000,P,23433059,413,20240509
SPXW,20240510,4580000,C,23433247,9,20240509
SPXW,20240510,4580000,P,23403142,555,20240509
SPXW,20240510,4590000,C,23405501,0,20240509
SPXW,20240510,4590000,P,23421026,4210,20240509
SPXW,20240510,4600000,C,23420435,5,20240509
SPXW,20240510,4600000,P,23426435,5005,20240509
SPXW,20240510,4610000,C,23427102,17,20240509
SPXW,20240510,4610000,P,23433026,700,20240509
SPXW,20240510,4620000,C,23415054,1,20240509
SPXW,20240510,4620000,P,23402969,3655,20240509
SPXW,20240510,4625000,C,23421131,2,20240509
SPXW,20240510,4625000,P,23421026,2039,20240509
SPXW,20240510,4630000,C,23429510,0,20240509
SPXW,20240510,4630000,P,23421056,406,20240509
SPXW,20240510,4640000,C,23433133,22,20240509
SPXW,20240510,4640000,P,23409069,1813,20240509
SPXW,20240510,4650000,C,23408411,6,20240509
SPXW,20240510,4650000,P,23432487,2609,20240509
SPXW,20240510,4660000,C,23427028,21,20240509
SPXW,20240510,4660000,P,23402922,331,20240509
SPXW,20240510,4670000,C,23414955,2,20240509
SPXW,20240510,4670000,P,23433112,222,20240509
SPXW,20240510,4675000,C,23421141,1,20240509
SPXW,20240510,4675000,P,23421046,379,20240509
SPXW,20240510,4680000,C,23414984,3,20240509
SPXW,20240510,4680000,P,23433079,377,20240509
SPXW,20240510,4690000,C,23435518,0,20240509
SPXW,20240510,4690000,P,23408966,4488,20240509
SPXW,20240510,4700000,C,23402331,136,20240509
SPXW,20240510,4700000,P,23414376,5520,20240509
SPXW,20240510,4710000,C,23402979,23,20240509
SPXW,20240510,4710000,P,23421058,324,20240509
SPXW,20240510,4720000,C,23411457,0,20240509
SPXW,20240510,4720000,P,23427112,3609,20240509
SPXW,20240510,4725000,C,23426851,22,20240509
SPXW,20240510,4725000,P,23408799,1746,20240509
SPXW,20240510,4730000,C,23427038,5,20240509
SPXW,20240510,4730000,P,23409055,713,20240509
SPXW,20240510,4735000,C,23415618,1,20240509
SPXW,20240510,4735000,P,23433679,1051,20240509
SPXW,20240510,4740000,C,23421151,2,20240509
SPXW,20240510,4740000,P,23433038,297,20240509
SPXW,20240510,4745000,C,23418095,0,20240509
SPXW,20240510,4745000,P,23409597,127,20240509
SPXW,20240510,4750000,C,23420455,11,20240509
SPXW,20240510,4750000,P,23414382,3217,20240509
SPXW,20240510,4755000,C,23411966,0,20240509
SPXW,20240510,4755000,P,23427753,127,20240509
SPXW,20240510,4760000,C,23429586,0,20240509
SPXW,20240510,4760000,P,23415075,504,20240509
SPXW,20240510,4765000,C,23424051,0,20240509
SPXW,20240510,4765000,P,23433754,118,20240509
SPXW,20240510,4770000,C,23402945,5,20240509
SPXW,20240510,4770000,P,23402932,237,20240509
SPXW,20240510,4775000,C,23426426,1,20240509
SPXW,20240510,4775000,P,23408380,2564,20240509
SPXW,20240510,4780000,C,23423472,0,20240509
SPXW,20240510,4780000,P,23409000,873,20240509
SPXW,20240510,4785000,C,23421512,10,20240509
SPXW,20240510,4785000,P,23421396,604,20240509
SPXW,20240510,4790000,C,23427037,2,20240509
SPXW,20240510,4790000,P,23433121,438,20240509
SPXW,20240510,4795000,C,23423840,0,20240509
SPXW,20240510,4795000,P,23427503,367,20240509
SPXW,20240510,4800000,C,23432487,8,20240509
SPXW,20240510,4800000,P,23402334,6111,20240509
SPXW,20240510,4805000,C,23427428,5,20240509
SPXW,20240510,4805000,P,23433479,162,20240509
SPXW,20240510,4810000,C,23414984,1,20240509
SPXW,20240510,4810000,P,23421036,302,20240509
SPXW,20240510,4815000,C,23405889,0,20240509
SPXW,20240510,4815000,P,23403407,228,20240509
SPXW,20240510,4820000,C,23403018,1,20240509
SPXW,20240510,4820000,P,23414967,576,20240509
SPXW,20240510,4825000,C,23414479,13,20240509
SPXW,20240510,4825000,P,23420425,5290,20240509
SPXW,20240510,4830000,C,23432799,11,20240509
SPXW,20240510,4830000,P,23402746,849,20240509
SPXW,20240510,4835000,C,23417840,0,20240509
SPXW,20240510,4835000,P,23415375,981,20240509
SPXW,20240510,4840000,C,23414707,1,20240509
SPXW,20240510,4840000,P,23420806,830,20240509
SPXW,20240510,4845000,C,23433438,44,20240509
SPXW,20240510,4845000,P,23415357,2713,20240509
SPXW,20240510,4850000,C,23426427,64,20240509
SPXW,20240510,4850000,P,23408397,4921,20240509
SPXW,20240510,4855000,C,23405866,0,20240509
SPXW,20240510,4855000,P,23403341,390,20240509
SPXW,20240510,4860000,C,23426777,3,20240509
SPXW,20240510,4860000,P,23408703,812,20240509
SPXW,20240510,4865000,C,23421403,11,20240509
SPXW,20240510,4865000,P,23415346,375,20240509
SPXW,20240510,4870000,C,23432852,13,20240509
SPXW,20240510,4870000,P,23402675,760,20240509
SPXW,20240510,4875000,C,23432478,151,20240509
SPXW,20240510,4875000,P,23402321,4141,20240509
SPXW,20240510,4880000,C,23414685,7,20240509
SPXW,20240510,4880000,P,23414808,573,20240509
SPXW,20240510,4885000,C,23415168,1,20240509
SPXW,20240510,4885000,P,23409278,388,20240509
SPXW,20240510,4890000,C,23420765,27,20240509
SPXW,20240510,4890000,P,23426767,664,20240509
SPXW,20240510,4895000,C,23429694,0,20240509
SPXW,20240510,4895000,P,23409186,653,20240509
SPXW,20240510,4900000,C,23414366,41,20240509
SPXW,20240510,4900000,P,23420530,5870,20240509
SPXW,20240510,4905000,C,23427258,14,20240509
SPXW,20240510,4905000,P,23421248,241,20240509
SPXW,20240510,4910000,C,23408720,18,20240509
SPXW,20240510,4910000,P,23432768,702,20240509
SPXW,20240510,4915000,C,23403218,52,20240509
SPXW,20240510,4915000,P,23427248,703,20240509
SPXW,20240510,4920000,C,23402670,99,20240509
SPXW,20240510,4920000,P,23414696,879,20240509
SPXW,20240510,4925000,C,23426501,65,20240509
SPXW,20240510,4925000,P,23408444,2696,20240509
SPXW,20240510,4930000,C,23420881,47,20240509
SPXW,20240510,4930000,P,23426768,620,20240509
SPXW,20240510,4935000,C,23415280,7,20240509
SPXW,20240510,4935000,P,23421266,646,20240509
SPXW,20240510,4940000,C,23408741,59,20240509
SPXW,20240510,4940000,P,23432808,4543,20240509
SPXW,20240510,4945000,C,23414984,36,20240509
SPXW,20240510,4945000,P,23421076,1386,20240509
SPXW,20240510,4950000,C,23420447,289,20240509
SPXW,20240510,4950000,P,23414353,7541,20240509
SPXW,20240510,4955000,C,23402989,26,20240509
SPXW,20240510,4955000,P,23427048,995,20240509
SPXW,20240510,4960000,C,23426435,247,20240509
SPXW,20240510,4960000,P,23408355,3056,20240509
SPXW,20240510,4965000,C,23408966,48,20240509
SPXW,20240510,4965000,P,23433088,1127,20240509
SPXW,20240510,4970000,C,23432447,52,20240509
SPXW,20240510,4970000,P,23402397,550,20240509
SPXW,20240510,4975000,C,23432520,88,20240509
SPXW,20240510,4975000,P,23402369,2349,20240509
SPXW,20240510,4980000,C,23414382,113,20240509
SPXW,20240510,4980000,P,23420455,1162,20240509
SPXW,20240510,4985000,C,23427122,89,20240509
SPXW,20240510,4985000,P,23408982,764,20240509
SPXW,20240510,4990000,C,23426414,118,20240509
SPXW,20240510,4990000,P,23408372,1442,20240509
SPXW,20240510,4995000,C,23402942,89,20240509
SPXW,20240510,4995000,P,23414967,733,20240509
SPXW,20240510,5000000,C,23432487,6947,20240509
SPXW,20240510,5000000,P,23402334,11385,20240509
SPXW,20240510,5005000,C,23433046,126,20240509
SPXW,20240510,5005000,P,23421068,2804,20240509
SPXW,20240510,5010000,C,23414469,180,20240509
SPXW,20240510,5010000,P,23420415,1087,20240509
SPXW,20240510,5015000,C,23427038,83,20240509
SPXW,20240510,5015000,P,23409055,701,20240509
SPXW,20240510,5020000,C,23426414,306,20240509
SPXW,20240510,5020000,P,23408391,5286,20240509
SPXW,20240510,5025000,C,23414458,245,20240509
SPXW,20240510,5025000,P,23420405,2758,20240509
SPXW,20240510,5030000,C,23432467,218,20240509
SPXW,20240510,5030000,P,23402321,2806,20240509
SPXW,20240510,5035000,C,23421151,148,20240509
SPXW,20240510,5035000,P,23433067,1044,20240509
SPXW,20240510,5040000,C,23414353,200,20240509
SPXW,20240510,5040000,P,23420530,2277,20240509
SPXW,20240510,5045000,C,23415075,345,20240509
SPXW,20240510,5045000,P,23421066,1207,20240509
SPXW,20240510,5050000,C,23426501,3473,20240509
SPXW,20240510,5050000,P,23408444,13876,20240509
SPXW,20240510,5055000,C,23427037,638,20240509
SPXW,20240510,5055000,P,23414994,1167,20240509
SPXW,20240510,5060000,C,23432520,339,20240509
SPXW,20240510,5060000,P,23402369,4003,20240509
SPXW,20240510,5065000,C,23409010,198,20240509
SPXW,20240510,5065000,P,23433079,1943,20240509
SPXW,20240510,5070000,C,23414372,957,20240509
SPXW,20240510,5070000,P,23420437,1622,20240509
SPXW,20240510,5075000,C,23426407,837,20240509
SPXW,20240510,5075000,P,23408380,2250,20240509
SPXW,20240510,5080000,C,23426427,886,20240509
SPXW,20240510,5080000,P,23408355,5649,20240509
SPXW,20240510,5085000,C,23403018,237,20240509
SPXW,20240510,5085000,P,23433121,1295,20240509
SPXW,20240510,5090000,C,23432438,468,20240509
SPXW,20240510,5090000,P,23402397,1429,20240509
SPXW,20240510,5095000,C,23421076,151,20240509
SPXW,20240510,5095000,P,23427058,784,20240509
SPXW,20240510,5100000,C,23414372,3565,20240509
SPXW,20240510,5100000,P,23420445,6672,20240509
SPXW,20240510,5105000,C,23414994,200,20240509
SPXW,20240510,5105000,P,23408993,2384,20240509
SPXW,20240510,5110000,C,23426414,495,20240509
SPXW,20240510,5110000,P,23408372,3410,20240509
SPXW,20240510,5115000,C,23433088,586,20240509
SPXW,20240510,5115000,P,23402989,1524,20240509
SPXW,20240510,5120000,C,23432477,1368,20240509
SPXW,20240510,5120000,P,23402324,1399,20240509
SPXW,20240510,5125000,C,23432455,1250,20240509
SPXW,20240510,5125000,P,23402311,3594,20240509
SPXW,20240510,5130000,C,23414469,1459,20240509
SPXW,20240510,5130000,P,23420415,2949,20240509
SPXW,20240510,5135000,C,23402955,874,20240509
SPXW,20240510,5135000,P,23427047,1395,20240509
SPXW,20240510,5140000,C,23426414,1769,20240509
SPXW,20240510,5140000,P,23408391,1599,20240509
SPXW,20240510,5145000,C,23433096,613,20240509
SPXW,20240510,5145000,P,23403028,699,20240509
SPXW,20240510,5150000,C,23432467,5733,20240509
SPXW,20240510,5150000,P,23402311,6150,20240509
SPXW,20240510,5155000,C,23409010,669,20240509
SPXW,20240510,5155000,P,23414994,841,20240509
SPXW,20240510,5160000,C,23420520,1481,20240509
SPXW,20240510,5160000,P,23426489,1032,20240509
SPXW,20240510,5165000,C,23421086,577,20240509
SPXW,20240510,5165000,P,23427058,1405,20240509
SPXW,20240510,5170000,C,23408437,2678,20240509
SPXW,20240510,5170000,P,23432512,1049,20240509
SPXW,20240510,5175000,C,23414342,2751,20240509
SPXW,20240510,5175000,P,23420520,1461,20240509
SPXW,20240510,5180000,C,23402359,1614,20240509
SPXW,20240510,5180000,P,23414372,767,20240509
SPXW,20240510,5185000,C,23414976,1420,20240509
SPXW,20240510,5185000,P,23421046,520,20240509
SPXW,20240510,5190000,C,23420437,3390,20240509
SPXW,20240510,5190000,P,23426427,692,20240509
SPXW,20240510,5195000,C,23402951,819,20240509
SPXW,20240510,5195000,P,23403028,384,20240509
SPXW,20240510,5200000,C,23408338,8423,20240509
SPXW,20240510,5200000,P,23432438,4765,20240509
SPXW,20240510,5205000,C,23415002,2100,20240509
SPXW,20240510,5205000,P,23421086,203,20240509
SPXW,20240510,5210000,C,23402387,1775,20240509
SPXW,20240510,5210000,P,23414372,326,20240509
SPXW,20240510,5215000,C,23414987,1390,20240509
SPXW,20240510,5215000,P,23433096,331,20240509
SPXW,20240510,5220000,C,23420445,2497,20240509
SPXW,20240510,5220000,P,23426405,230,20240509
SPXW,20240510,5225000,C,23426489,4370,20240509
SPXW,20240510,5225000,P,23408437,949,20240509
SPXW,20240510,5230000,C,23408362,3551,20240509
SPXW,20240510,5230000,P,23432477,124,20240509
SPXW,20240510,5235000,C,23408946,1441,20240509
SPXW,20240510,5235000,P,23409010,42,20240509
SPXW,20240510,5240000,C,23432447,4720,20240509
SPXW,20240510,5240000,P,23402407,160,20240509
SPXW,20240510,5245000,C,23427047,1366,20240509
SPXW,20240510,5245000,P,23408993,26,20240509
SPXW,20240510,5250000,C,23414382,7563,20240509
SPXW,20240510,5250000,P,23402324,1603,20240509
SPXW,20240510,5255000,C,23433059,2827,20240509
SPXW,20240510,5255000,P,23427038,50,20240509
SPXW,20240510,5260000,C,23402710,6478,20240509
SPXW,20240510,5260000,P,23414707,62,20240509
SPXW,20240510,5265000,C,23402922,3153,20240509
SPXW,20240510,5265000,P,23427028,29,20240509
SPXW,20240510,5270000,C,23420787,1560,20240509
SPXW,20240510,5270000,P,23426841,43,20240509
SPXW,20240510,5275000,C,23432512,1833,20240509
SPXW,20240510,5275000,P,23402359,111,20240509
SPXW,20240510,5280000,C,23408788,2007,20240509
SPXW,20240510,5280000,P,23432799,83,20240509
SPXW,20240510,5285000,C,23414974,1400,20240509
SPXW,20240510,5285000,P,23421066,8,20240509
SPXW,20240510,5290000,C,23402737,963,20240509
SPXW,20240510,5290000,P,23414707,103,20240509
SPXW,20240510,5295000,C,23409049,1144,20240509
SPXW,20240510,5295000,P,23433088,1,20240509
SPXW,20240510,5300000,C,23414363,8689,20240509
SPXW,20240510,5300000,P,23420427,5644,20240509
SPXW,20240510,5305000,C,23415002,679,20240509
SPXW,20240510,5305000,P,23408975,21,20240509
SPXW,20240510,5310000,C,23420795,714,20240509
SPXW,20240510,5310000,P,23426777,432,20240509
SPXW,20240510,5315000,C,23402998,614,20240509
SPXW,20240510,5315000,P,23423490,0,20240509
SPXW,20240510,5320000,C,23408694,518,20240509
SPXW,20240510,5320000,P,23432842,13,20240509
SPXW,20240510,5325000,C,23426414,3009,20240509
SPXW,20240510,5325000,P,23408338,20,20240509
SPXW,20240510,5330000,C,23402675,488,20240509
SPXW,20240510,5330000,P,23414798,15,20240509
SPXW,20240510,5335000,C,23408952,805,20240509
SPXW,20240510,5335000,P,23433026,2,20240509
SPXW,20240510,5340000,C,23420765,382,20240509
SPXW,20240510,5340000,P,23426755,2,20240509
SPXW,20240510,5345000,C,23422148,2,20240509
SPXW,20240510,5345000,P,23406435,0,20240509
SPXW,20240510,5350000,C,23432427,2620,20240509
SPXW,20240510,5350000,P,23402314,14,20240509
SPXW,20240510,5355000,C,23416036,43,20240509
SPXW,20240510,5355000,P,23430504,0,20240509
SPXW,20240510,5360000,C,23408709,2124,20240509
SPXW,20240510,5360000,P,23429369,0,20240509
SPXW,20240510,5370000,C,23432768,5053,20240509
SPXW,20240510,5370000,P,23411297,0,20240509
SPXW,20240510,5375000,C,23402670,1046,20240509
SPXW,20240510,5375000,P,23426787,1,20240509
SPXW,20240510,5380000,C,23408715,470,20240509
SPXW,20240510,5380000,P,23432808,10,20240509
SPXW,20240510,5390000,C,23402685,1055,20240509
SPXW,20240510,5390000,P,23414817,2,20240509
SPXW,20240510,5400000,C,23420540,2476,20240509
SPXW,20240510,5400000,P,23426508,2,20240509
SPXW,20240510,5410000,C,23420816,465,20240509
SPXW,20240510,5410000,P,23405286,0,20240509
SPXW,20240510,5420000,C,23426777,258,20240509
SPXW,20240510,5420000,P,23405298,0,20240509
SPXW,20240510,5425000,C,23408725,753,20240509
SPXW,20240510,5425000,P,23417309,0,20240509
SPXW,20240510,5430000,C,23432861,166,20240509
SPXW,20240510,5430000,P,23423342,0,20240509
SPXW,20240510,5440000,C,23402671,571,20240509
SPXW,20240510,5440000,P,23414700,5,20240509
SPXW,20240510,5450000,C,23408457,911,20240509
SPXW,20240510,5450000,P,23432531,12,20240509
SPXW,20240510,5460000,C,23415070,391,20240509
SPXW,20240510,5460000,P,23411499,0,20240509
SPXW,20240510,5470000,C,23421141,258,20240509
SPXW,20240510,5470000,P,23429522,0,20240509
SPXW,20240510,5475000,C,23420775,508,20240509
SPXW,20240510,5475000,P,23429456,0,20240509
SPXW,20240510,5480000,C,23427048,226,20240509
SPXW,20240510,5480000,P,23433079,5,20240509
SPXW,20240510,5490000,C,23409069,85,20240509
SPXW,20240510,5490000,P,23405440,0,20240509
SPXW,20240510,5500000,C,23402379,857,20240509
SPXW,20240510,5500000,P,23414393,5,20240509
SPXW,20240510,5510000,C,23427047,113,20240509
SPXW,20240510,5510000,P,23417535,0,20240509
SPXW,20240510,5520000,C,23412418,0,20240509
SPXW,20240510,5520000,P,23418433,0,20240509
SPXW,20240510,5525000,C,23426486,147,20240509
SPXW,20240510,5525000,P,23417151,0,20240509
SPXW,20240510,5530000,C,23424473,0,20240509
SPXW,20240510,5530000,P,23436579,0,20240509
SPXW,20240510,5540000,C,23406524,0,20240509
SPXW,20240510,5540000,P,23418461,0,20240509
SPXW,20240510,5550000,C,23420457,895,20240509
SPXW,20240510,5550000,P,23426442,10,20240509
SPXW,20240510,5575000,C,23432537,46,20240509
SPXW,20240510,5575000,P,23423196,0,20240509
SPXW,20240510,5600000,C,23408365,71,20240509
SPXW,20240510,5600000,P,23432455,10,20240509
SPXW,20240510,5625000,C,23402439,93,20240509
SPXW,20240510,5625000,P,23429252,0,20240509
SPXW,20240510,5650000,C,23402407,538,20240509
SPXW,20240510,5650000,P,23414393,2,20240509
SPXW,20240510,5675000,C,23414452,218,20240509
SPXW,20240510,5675000,P,23420485,5,20240509
SPXW,20240510,5700000,C,23420465,1012,20240509
SPXW,20240510,5700000,P,23426426,2,20240509
SPXW,20240510,5750000,C,23430452,0,20240509
SPXW,20240510,5750000,P,23412432,0,20240509
SPXW,20240510,5800000,C,23408457,1125,20240509
SPXW,20240510,5800000,P,23432531,10,20240509
SPXW,20240510,5850000,C,23430586,0,20240509
SPXW,20240510,5850000,P,23430504,0,20240509
SPXW,20240510,5900000,C,23412494,0,20240509
SPXW,20240510,5900000,P,23424501,0,20240509
SPXW,20240510,6000000,C,23402379,24,20240509
SPXW,20240510,6000000,P,23414382,1,20240509
SPXW,20240510,6200000,C,23420447,20,20240509
SPXW,20240510,6200000,P,23417118,0,20240509
SPXW,20240510,6400000,C,23426435,46,20240509
SPXW,20240510,6400000,P,23423242,0,20240509
SPXW,20240510,6600000,C,23408365,1,20240509
SPXW,20240510,6600000,P,23429191,0,20240509
SPXW,20240510,6800000,C,23411457,0,20240509
SPXW,20240510,6800000,P,23435532,0,20240509
